Name,Platform,Critic_Score,User_Score
Wii Sports,Wii,7.7,8
Super Mario Bros.,NES,10,8.2
Counter-Strike: Global Offensive,PC,8,7.5
Mario Kart Wii,Wii,8.2,9.1
PLAYERUNKNOWN'S BATTLEGROUNDS,PC,8.6,4.7
Minecraft,PC,10,7.8
Wii Sports Resort,Wii,8,8.8
Pokemon Red / Green / Blue Version,GB,9.4,8.8
New Super Mario Bros.,DS,9.1,8.1
New Super Mario Bros. Wii,Wii,8.6,9.2
Tetris,GB,9.4,8.7
Call of Duty: Modern Warfare,PS4,8,3.3
Duck Hunt,NES,7.5,8.3
Wii Play,Wii,5.9,6.5
Mario Kart 8 Deluxe,NS,9.3,8.7
Kinect Adventures!,X360,6.7,
Nintendogs,DS,8.4,8.5
Mario Kart DS,DS,9.1,9.4
Pokemon Gold / Silver Version,GB,9.2,8.8
Wii Fit,Wii,7.9,
Wii Fit Plus,Wii,8,
Super Mario World,SNES,8.5,9.3
Grand Theft Auto V,PS3,9.4,8.3
Grand Theft Auto V,PS4,9.7,8.4
Brain Age: Train Your Brain in Minutes a Day,DS,8.1,
Super Smash Bros. Ultimate,NS,9.4,9.7
Mario Kart 7,3DS,8.2,8.3
Super Mario Land,GB,,
Pokemon Diamond / Pearl Version,DS,8.6,
Super Mario Odyssey,NS,9.9,9
The Legend of Zelda: Breath of the Wild,NS,9.9,10
Pokemon Sword / Shield,NS,8,4.6
Grand Theft Auto: San Andreas,PS2,9.5,9.1
Super Mario Bros. 3,NES,9.8,9.3
Garry's Mod,PC,,
Pokemon X/Y,3DS,8.9,9.7
Uncharted 4: A Thief's End,PS4,9.2,8.4
Pokemon Ruby / Sapphire Version,GBA,8.8,8.6
Pokemon Sun/Moon,3DS,9,7.7
Grand Theft Auto: Vice City,PS2,9.6,8.8
Grand Theft Auto V,X360,10,
Pokemon Black / White Version,DS,8.6,9
Call of Duty: Black Ops 3,PS4,8.1,4.9
Counter-Strike: Source,PC,9.3,
Sonic the Hedgehog,GEN,8.6,8.3
Gran Turismo 3: A-Spec,PS2,9.3,8.9
Brain Age 2: More Training in Minutes a Day,DS,8,
Call of Duty: Modern Warfare 3,X360,8.7,
Call of Duty: Black Ops,X360,8.8,
Pokemon Yellow: Special Pikachu Edition,GB,8.7,8.8
Halo 3,X360,9.6,9.5
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,8.3,7.4
Terraria,PC,8.8,8.6
Red Dead Redemption 2,PS4,9.8,7.9
Call of Duty: Black Ops II,X360,9.3,
Call of Duty: Black Ops II,PS3,9.3,
Call of Duty: Modern Warfare 2,X360,9.5,9
Animal Crossing: New Horizons,NS,9,5.4
Call of Duty: WWII,PS4,8,4.3
Call of Duty: Modern Warfare 3,PS3,8.8,
New Super Mario Bros. 2,3DS,7.5,7.3
Super Smash Bros. Brawl,Wii,9.2,9.7
Marvel's Spider-Man,PS4,9.1,8.7
Grand Theft Auto III,PS2,9.5,
Portal 2,PC,9.7,9
Minecraft,X360,8.5,
Super Mario Galaxy,Wii,9.7,9.6
Pokemon Heart Gold / Soul Silver Version,DS,8.6,
Super Mario 3D Land,3DS,8.9,8.4
Call of Duty: Black Ops,PS3,8.7,
Grand Theft Auto V,PC,9.6,7.7
Animal Crossing: New Leaf,3DS,8.6,8.8
The Witcher 3: Wild Hunt,PC,9.3,9.4
Diablo III,PC,9,4.1
Half-Life 2,PC,9.7,
Pokemon FireRed / LeafGreen Version,GBA,8.3,
World of Warcraft,PC,9.2,8
"Pokemon: Let's Go, Pikachu/Eevee",NS,8,6.2
Gran Turismo 5,PS3,8.3,
Super Mario 64,N64,9.7,9
FIFA 18,PS4,8.3,3.4
The Last of Us Remastered,PS4,9.5,9.1
Gran Turismo 4,PS2,8.7,
Animal Crossing: Wild World,DS,8.5,
Super Mario Land 2: 6 Golden Coins,GB,9,8.5
Grand Theft Auto IV,X360,10,
Super Mario 64 DS,DS,8.6,
God of War (2018),PS4,9.7,10
StarCraft,PC,8.7,
FIFA 17,PS4,8.9,4.8
Gran Turismo,PS,9.5,
The Witcher 3: Wild Hunt,PS4,9.2,9.2
Call of Duty: Modern Warfare 2,PS3,9.5,
Grand Theft Auto IV,PS3,10,9
Super Mario All-Stars,SNES,9.2,9.5
Call of Duty: Ghosts,X360,6.9,
Just Dance 3,Wii,7.5,
Call of Duty: Ghosts,PS3,7.5,
Splatoon 2,NS,8.2,8.5
Super Mario Party,NS,7.3,7.5
Horizon: Zero Dawn,PS4,9.1,8
RollerCoaster Tycoon 3,PC,8.3,
Halo: Reach,X360,9.3,
Portal,PC,9,
Halo 4,X360,9.8,
Final Fantasy VII,PS,9.6,9.5
Mario Kart 64,N64,8.5,
Super Smash Bros. for 3DS,3DS,8.4,
Call of Duty 4: Modern Warfare,X360,9.6,9
Gran Turismo 2,PS,9.2,
